Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),Abs,
2877.0,1.2781728433,
2876.5,1.2725274938,
2876.0,1.2676148612,
2875.5,1.2635776373,
2875.0,1.2589321283,
2874.5,1.2540428211,
2874.0,1.2495006450,
2873.5,1.2448427837,
2873.0,1.2404854633,
2872.5,1.2361615455,
2872.0,1.2306982873,
2871.5,1.2266501536,
2871.0,1.2220038170,
2870.5,1.2170410645,
2870.0,1.2132831358,
2869.5,1.2081707307,
2869.0,1.2041155759,
2868.5,1.1995027997,
2868.0,1.1943389549,
2867.5,1.1903911457,
2867.0,1.1852720816,
2866.5,1.1814801652,
2866.0,1.1769142284,
2865.5,1.1724934741,
2865.0,1.1682898889,
2864.5,1.1639813320,
2864.0,1.1597606608,
2863.5,1.1553474270,
2863.0,1.1509439660,
2862.5,1.1466947447,
2862.0,1.1426380349,
2861.5,1.1380172077,
2861.0,1.1338802850,
2860.5,1.1296428689,
2860.0,1.1251487468,
2859.5,1.1211452146,
2859.0,1.1169049685,
2858.5,1.1122866355,
2858.0,1.1085116741,
2857.5,1.1038139485,
2857.0,1.1002944512,
2856.5,1.0956059739,
2856.0,1.0915649714,
2855.5,1.0878160128,
2855.0,1.0830867353,
2854.5,1.0788408941,
2854.0,1.0747364081,
2853.5,1.0706803416,
2853.0,1.0660945905,
2852.5,1.0619860580,
2852.0,1.0576796527,
2851.5,1.0541653066,
2851.0,1.0500576485,
2850.5,1.0460202954,
2850.0,1.0423274325,
2849.5,1.0381817688,
2849.0,1.0342934815,
2848.5,1.0304953654,
2848.0,1.0261396034,
2847.5,1.0226357861,
2847.0,1.0185696492,
2846.5,1.0150357003,
2846.0,1.0113361189,
2845.5,1.0074731149,
2845.0,1.0038134403,
2844.5,0.9996204496,
2844.0,0.9960979085,
2843.5,0.9926453656,
2843.0,0.9885582852,
2842.5,0.9848666754,
2842.0,0.9808646538,
