Baseline 100%T,,
Wavelength (nm),%T,
3005.5,112.3504257,
3005,112.3878021,
3004.5,112.4733124,
3004,112.4377289,
3003.5,112.4590378,
3003,112.4483109,
3002.5,112.420929,
3002,112.402977,
3001.5,112.4470673,
3001,112.3903275,
3000.5,112.5004883,
3000,112.4786224,
2999.5,112.4875183,
2999,112.4825821,
2998.5,112.3787842,
2998,112.4072342,
2997.5,112.3965988,
2997,112.4476547,
2996.5,112.4851074,
2996,112.4651108,
2995.5,112.4369965,
2995,112.3880386,
2994.5,112.3349991,
2994,112.4105606,
2993.5,112.394928,
2993,112.4222183,
2992.5,112.449173,
2992,112.4040451,
2991.5,112.374794,
2991,112.3563766,
2990.5,112.3338699,
2990,112.4090805,
2989.5,112.4094162,
2989,112.4471664,
2988.5,112.4274368,
2988,112.3705978,
2987.5,112.3547058,
2987,112.3326416,
2986.5,112.3142242,
2986,112.3818512,
2985.5,112.3911057,
2985,112.4202042,
2984.5,112.4353638,
2984,112.3135681,
2983.5,112.3029861,
2983,112.3161926,
2982.5,112.3439941,
2982,112.3955994,
2981.5,112.3819733,
2981,112.3919983,
2980.5,112.4271164,
2980,112.3822937,
2979.5,112.3830643,
2979,112.4002838,
2978.5,112.4614944,
2978,112.5082169,
2977.5,112.4626389,
2977,112.4575348,
2976.5,112.4135818,
2976,112.3882141,
2975.5,112.4318695,
2975,112.4747009,
2974.5,112.5400085,
2974,112.5751648,
2973.5,112.5260086,
2973,112.4778366,
2972.5,112.3635788,
2972,112.3788147,
2971.5,112.4564056,
2971,112.4453583,
2970.5,112.4927902,
2970,112.4696045,
2969.5,112.4419327,
2969,112.3999863,
2968.5,112.3633423,
2968,112.3806152,
2967.5,112.4773254,
2967,112.4689255,
2966.5,112.4892807,
2966,112.4143372,
2965.5,112.3698807,
2965,112.39991,
2964.5,112.3745346,
2964,112.4213715,
2963.5,112.4668732,
2963,112.4450531,
2962.5,112.4378204,
2962,112.35466,
2961.5,112.3384476,
2961,112.3833389,
2960.5,112.4046555,
2960,112.4480362,
2959.5,112.4802933,
2959,112.4238815,
2958.5,112.3996887,
2958,112.3406296,
2957.5,112.3272858,
2957,112.3980637,
2956.5,112.4171295,
2956,112.455452,
2955.5,112.4603958,
2955,112.3837967,
2954.5,112.3666153,
2954,112.3328323,
2953.5,112.3730164,
2953,112.447319,
2952.5,112.4452438,
2952,112.4871216,
2951.5,112.4381409,
2951,112.3817902,
2950.5,112.43013,
2950,112.3896866,
2949.5,112.4781113,
2949,112.532402,
2948.5,112.5140457,
2948,112.5205841,
2947.5,112.4171371,
2947,112.3887787,
2946.5,112.4383316,
2946,112.4579544,
2945.5,112.540329,
2945,112.5532303,
2944.5,112.5222778,
2944,112.4877319,
2943.5,112.428215,
2943,112.4202347,
2942.5,112.4751205,
2942,112.5187836,
2941.5,112.5576477,
2941,112.4883423,
2940.5,112.4150391,
2940,112.4066238,
2939.5,112.3619461,
2939,112.3871002,
2938.5,112.4443741,
2938,112.4285202,
2937.5,112.4437714,
2937,112.361824,
2936.5,112.3243561,
2936,112.3697891,
2935.5,112.3679199,
2935,112.4618378,
2934.5,112.4721985,
2934,112.4361038,
2933.5,112.4345322,
2933,112.3600616,
2932.5,112.3406296,
2932,112.3801498,
2931.5,112.4060516,
2931,112.4799118,
2930.5,112.4594955,
2930,112.3850937,
2929.5,112.3838196,
2929,112.34021,
2928.5,112.3540268,
2928,112.417099,
2927.5,112.4287491,
2927,112.4418488,
2926.5,112.4001236,
2926,112.3006668,
2925.5,112.3373489,
2925,112.3218765,
2924.5,112.3493576,
2924,112.4269028,
2923.5,112.3941574,
2923,112.3969421,
2922.5,112.2973938,
2922,112.2803192,
2921.5,112.3450317,
2921,112.3687515,
2920.5,112.4264221,
2920,112.4406586,
2919.5,112.3918915,
2919,112.368309,
2918.5,112.312149,
2918,112.2900696,
2917.5,112.3264313,
2917,112.3242493,
2916.5,112.345253,
2916,112.2988434,
2915.5,112.2068787,
2915,112.1928101,
2914.5,112.2414246,
2914,112.2749939,
2913.5,112.3363724,
2913,112.3250275,
2912.5,112.3319168,
2912,112.2670898,
2911.5,112.209465,
2911,112.2718811,
2910.5,112.3004913,
2910,112.3439407,
2909.5,112.3749847,
2909,112.3126831,
2908.5,112.2954254,
