Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),%T,
3041,0.06832431257,
3040.5,0.01845530048,
3040,0.03878105059,
3039.5,0.06451760232,
3039,0.06085007265,
3038.5,0.05542198941,
3038,0.04415847361,
3037.5,0.06511260569,
3037,0.05435200408,
3036.5,0.02668601274,
3036,0.03122996166,
3035.5,0.01686648279,
3035,0.05217510089,
3034.5,0.05933186784,
3034,0.05886480212,
3033.5,0.07260467857,
3033,0.03497474268,
3032.5,0.04721216857,
3032,0.05660957471,
3031.5,0.06663706154,
3031,0.06323622912,
3030.5,0.08417834342,
3030,0.07518550754,
3029.5,0.04860955104,
3029,0.05376382172,
3028.5,0.06620465964,
3028,0.07911359519,
3027.5,0.05208173394,
3027,0.05057614297,
3026.5,0.07852112502,
3026,0.05607354268,
3025.5,0.09581231326,
3025,0.05382857099,
3024.5,0.06063206866,
3024,0.07439009845,
3023.5,0.07288960367,
3023,0.06485500187,
3022.5,0.06543498486,
3022,0.06377732754,
3021.5,0.06770290434,
3021,0.06366362423,
3020.5,0.06687828898,
3020,0.05175473541,
3019.5,0.08109894395,
3019,0.04529425502,
3018.5,0.07522217184,
3018,0.06351481378,
3017.5,0.06718546897,
3017,0.07840710878,
3016.5,0.06472259015,
3016,0.07348222286,
3015.5,0.07814786583,
3015,0.0994477272,
3014.5,0.07641037554,
3014,0.08964610845,
3013.5,0.06716621667,
3013,0.1039167196,
3012.5,0.09262961149,
3012,0.06865629554,
3011.5,0.07671800256,
3011,0.09184473753,
3010.5,0.09047297388,
3010,0.08873650432,
3009.5,0.08662897348,
3009,0.09713274986,
3008.5,0.08816866577,
3008,0.09559189528,
3007.5,0.1136372462,
3007,0.09241208434,
3006.5,0.09129175544,
3006,0.087233603,
3005.5,0.09705841541,
3005,0.1019045934,
3004.5,0.1032832786,
3004,0.09911218286,
3003.5,0.1149354503,
3003,0.1054890826,
3002.5,0.1029232293,
3002,0.1100330129,
3001.5,0.1150169298,
3001,0.1105927601,
3000.5,0.1187328473,
3000,0.1145450547,
2999.5,0.1138950363,
2999,0.1303218156,
2998.5,0.1177515239,
2998,0.1442693174,
2997.5,0.127422139,
2997,0.1427888423,
2996.5,0.1170725301,
2996,0.1294189692,
2995.5,0.1273291111,
2995,0.1336452961,
2994.5,0.1346679628,
2994,0.1431930065,
2993.5,0.1348606199,
2993,0.1291730851,
2992.5,0.1473317593,
2992,0.1376704425,
2991.5,0.1615989804,
2991,0.1510467976,
2990.5,0.145760715,
2990,0.1566214859,
2989.5,0.1661288738,
2989,0.1765424609,
2988.5,0.1843407154,
2988,0.1741357148,
2987.5,0.172814697,
2987,0.1849937588,
2986.5,0.1724928617,
2986,0.1871520132,
2985.5,0.1645052731,
2985,0.1782885194,
2984.5,0.1799147427,
2984,0.1948230714,
2983.5,0.1871869713,
2983,0.2058125585,
2982.5,0.210775733,
2982,0.2134952396,
2981.5,0.2209306657,
2981,0.2175960988,
2980.5,0.2196770459,
2980,0.2224921435,
2979.5,0.2215854824,
2979,0.2382297367,
2978.5,0.245666042,
2978,0.251067847,
2977.5,0.2631223202,
2977,0.2651211619,
2976.5,0.2576294243,
2976,0.2566940486,
2975.5,0.265255034,
2975,0.2742482424,
2974.5,0.2732816935,
2974,0.2882477939,
2973.5,0.2840850055,
2973,0.2937459946,
2972.5,0.3055055141,
2972,0.3084247112,
2971.5,0.3228152394,
2971,0.32844311,
2970.5,0.3269121349,
2970,0.3393108845,
2969.5,0.3522589505,
2969,0.3436380029,
2968.5,0.3369376957,
2968,0.3526967764,
2967.5,0.3729093373,
2967,0.3746676147,
2966.5,0.3655600548,
2966,0.3852155805,
2965.5,0.3930129111,
2965,0.4156473875,
2964.5,0.4081610441,
2964,0.4294211566,
2963.5,0.4350263476,
2963,0.4209204912,
2962.5,0.4450277388,
2962,0.4398808479,
2961.5,0.4472290277,
2961,0.477212429,
2960.5,0.4735768437,
2960,0.4925459623,
2959.5,0.4918272495,
2959,0.5020998716,
2958.5,0.5031068325,
2958,0.518496871,
2957.5,0.5284926891,
2957,0.5196806788,
2956.5,0.5450424552,
2956,0.5628420711,
2955.5,0.5653790236,
2955,0.578138113,
2954.5,0.5849431157,
2954,0.5906685591,
2953.5,0.605039835,
2953,0.6323590279,
2952.5,0.616199851,
2952,0.6330829859,
2951.5,0.6409906149,
2951,0.6666423082,
2950.5,0.6662524343,
2950,0.6827234626,
2949.5,0.6892222166,
2949,0.7117337584,
2948.5,0.7197960019,
2948,0.7294902802,
2947.5,0.7443110347,
2947,0.7535870075,
2946.5,0.7704850435,
2946,0.7755109072,
2945.5,0.7880398035,
2945,0.8116226792,
2944.5,0.8119711876,
2944,0.8393265009,
2943.5,0.8514541984,
2943,0.8622303605,
2942.5,0.8722279072,
2942,0.8970861435,
2941.5,0.9060940742,
2941,0.91299963,
2940.5,0.9343551397,
2940,0.950845778,
2939.5,0.9664543867,
2939,0.9882844687,
2938.5,0.9945972562,
2938,1.019888759,
2937.5,1.037178516,
2937,1.059756517,
2936.5,1.064231396,
2936,1.081810117,
2935.5,1.110946894,
2935,1.119444609,
2934.5,1.135457158,
2934,1.155144811,
2933.5,1.169698715,
2933,1.193661094,
2932.5,1.215359449,
2932,1.227600455,
2931.5,1.24668777,
2931,1.268065453,
2930.5,1.281069517,
2930,1.30609715,
2929.5,1.31970644,
2929,1.343352556,
2928.5,1.364755392,
2928,1.386883616,
2927.5,1.405470133,
2927,1.430360556,
2926.5,1.457652926,
2926,1.486795068,
2925.5,1.491057277,
2925,1.521233082,
2924.5,1.545830488,
2924,1.568360209,
2923.5,1.597480059,
2923,1.615200043,
2922.5,1.644135118,
2922,1.669767737,
2921.5,1.685357332,
2921,1.711754918,
2920.5,1.738122344,
2920,1.767145991,
2919.5,1.794282675,
2919,1.812901855,
2918.5,1.842255831,
2918,1.864376664,
2917.5,1.90495348,
2917,1.926866412,
2916.5,1.947338343,
2916,1.982381225,
2915.5,2.01571703,
2915,2.032970905,
2914.5,2.065733194,
2914,2.093760967,
2913.5,2.127534866,
2913,2.154299021,
2912.5,2.1841681,
2912,2.206524372,
2911.5,2.239370108,
2911,2.26262784,
2910.5,2.304351807,
2910,2.334376335,
2909.5,2.369133949,
2909,2.399261236,
2908.5,2.433401823,
2908,2.467623234,
2907.5,2.489180803,
2907,2.535309792,
2906.5,2.567156076,
2906,2.596340656,
2905.5,2.63600564,
2905,2.675997019,
2904.5,2.707720995,
2904,2.748531342,
2903.5,2.784599066,
2903,2.822436571,
2902.5,2.857912064,
2902,2.899630785,
2901.5,2.938677311,
2901,2.972716808,
2900.5,3.01538372,
2900,3.05666995,
2899.5,3.093394995,
2899,3.130944729,
2898.5,3.171634197,
2898,3.210627317,
2897.5,3.259367228,
2897,3.292169094,
2896.5,3.340049505,
2896,3.381153107,
2895.5,3.424242496,
2895,3.466134071,
2894.5,3.503941774,
2894,3.543266296,
2893.5,3.588855743,
2893,3.64446497,
2892.5,3.682631731,
2892,3.721996307,
2891.5,3.77308321,
2891,3.816322327,
2890.5,3.863361359,
2890,3.905278444,
2889.5,3.956821918,
2889,4.001853466,
2888.5,4.047428608,
2888,4.103593826,
2887.5,4.140519619,
2887,4.189517498,
2886.5,4.246928692,
2886,4.291436672,
2885.5,4.346209526,
2885,4.39056921,
2884.5,4.440438271,
2884,4.49374485,
2883.5,4.551072598,
2883,4.593625546,
2882.5,4.653449059,
2882,4.70366621,
2881.5,4.772634983,
2881,4.821943283,
2880.5,4.876568317,
2880,4.935121059,
2879.5,4.983210564,
2879,5.047544479,
2878.5,5.104692459,
2878,5.160517693,
2877.5,5.21573782,
2877,5.270200729,
2876.5,5.33915472,
2876,5.399892807,
2875.5,5.450324535,
2875,5.508937836,
2874.5,5.571308136,
2874,5.629882813,
2873.5,5.690588951,
2873,5.747970581,
2872.5,5.805484295,
2872,5.878976345,
2871.5,5.934031487,
2871,5.997858047,
2870.5,6.066789627,
2870,6.119513035,
2869.5,6.19197607,
2869,6.250063419,
2868.5,6.316801071,
2868,6.392357349,
2867.5,6.450729847,
2867,6.527215004,
2866.5,6.584455013,
2866,6.654045582,
2865.5,6.7221241,
2865,6.787504196,
2864.5,6.855176926,
2864,6.922123432,
2863.5,6.992823601,
2863,7.064086914,
2862.5,7.133542538,
2862,7.200488567,
2861.5,7.277509689,
2861,7.347163677,
2860.5,7.419200897,
2860,7.49637413,
2859.5,7.565798759,
2859,7.64002943,
2858.5,7.721707821,
2858,7.789118767,
2857.5,7.873830318,
2857,7.937898636,
2856.5,8.024057388,
2856,8.099067688,
2855.5,8.169283867,
2855,8.258729935,
2854.5,8.339866638,
2854,8.419059753,
2853.5,8.498057365,
2853,8.588264465,
2852.5,8.669897079,
2852,8.75629425,
2851.5,8.827438354,
2851,8.911326408,
2850.5,8.994555473,
2850,9.071363449,
2849.5,9.158370972,
2849,9.240735054,
2848.5,9.321904182,
2848,9.415868759,
2847.5,9.492141724,
2847,9.581430435,
2846.5,9.659714699,
2846,9.742353439,
2845.5,9.829397202,
2845,9.912576675,
2844.5,10.00874329,
2844,10.09025383,
2843.5,10.17078876,
2843,10.26695633,
2842.5,10.35459995,
2842,10.45045853,
2841.5,10.53048992,
2841,10.62467003,
2840.5,10.71221161,
2840,10.8095274,
2839.5,10.90411758,
2839,10.99567413,
2838.5,11.09859753,
2838,11.18793201,
2837.5,11.28713608,
2837,11.38020706,
2836.5,11.48575878,
2836,11.58234882,
2835.5,11.6736536,
2835,11.77706909,
2834.5,11.87388706,
2834,11.9701767,
2833.5,12.06986618,
2833,12.16985321,
2832.5,12.27517605,
2832,12.3774929,
2831.5,12.47475719,
2831,12.57754993,
2830.5,12.67527485,
2830,12.77131176,
2829.5,12.87223244,
2829,12.97379303,
2828.5,13.07016754,
2828,13.17747498,
2827.5,13.27955437,
2827,13.38795853,
2826.5,13.48561478,
2826,13.58616924,
2825.5,13.69871616,
2825,13.79741001,
2824.5,13.90070629,
2824,13.99800777,
2823.5,14.10114956,
2823,14.2182827,
2822.5,14.32067108,
2822,14.43790627,
2821.5,14.54253769,
2821,14.65877914,
2820.5,14.76363564,
2820,14.87824726,
2819.5,14.99340057,
2819,15.1106863,
2818.5,15.227808,
2818,15.32445145,
2817.5,15.43997955,
2817,15.54847813,
2816.5,15.6567812,
2816,15.77256966,
2815.5,15.89035702,
2815,16.00414467,
2814.5,16.11699104,
2814,16.22867203,
2813.5,16.34988403,
2813,16.45626831,
2812.5,16.57626724,
2812,16.69266319,
2811.5,16.8118763,
2811,16.91778374,
2810.5,17.04038429,
2810,17.16230011,
2809.5,17.27504349,
2809,17.40133858,
2808.5,17.51273346,
2808,17.63661003,
2807.5,17.75436783,
2807,17.87288857,
2806.5,17.99308395,
2806,18.10837173,
2805.5,18.24690437,
2805,18.37171555,
2804.5,18.4970665,
2804,18.62664604,
2803.5,18.7568779,
2803,18.89920807,
2802.5,19.02717781,
2802,19.16135216,
2801.5,19.28306961,
2801,19.4114151,
2800.5,19.53269386,
2800,19.64932251,
2799.5,19.7909317,
2799,19.89679527,
2798.5,20.02176666,
2798,20.14204025,
2797.5,20.2680397,
2797,20.40345764,
2796.5,20.52602005,
2796,20.66065598,
2795.5,20.78334618,
2795,20.90213394,
2794.5,21.03507423,
2794,21.16581726,
2793.5,21.26748657,
2793,21.40861511,
2792.5,21.53018951,
2792,21.65210724,
2791.5,21.77390671,
2791,21.8891201,
2790.5,22.02246284,
2790,22.14612579,
2789.5,22.26923561,
2789,22.42103577,
2788.5,22.54714584,
2788,22.69376564,
2787.5,22.84928322,
2787,22.98019028,
2786.5,23.15849876,
2786,23.29040146,
2785.5,23.42080879,
2785,23.57474709,
2784.5,23.70557785,
2784,23.8482914,
2783.5,23.98943901,
2783,24.11548424,
2782.5,24.26545906,
2782,24.40393829,
2781.5,24.53210258,
2781,24.6896553,
2780.5,24.82204056,
2780,24.96055984,
2779.5,25.10783005,
2779,25.22542191,
2778.5,25.3755455,
2778,25.51474571,
2777.5,25.62931824,
2777,25.80160713,
2776.5,25.91077995,
2776,26.04828262,
2775.5,26.18049431,
2775,26.30190468,
2774.5,26.43683624,
2774,26.56090546,
2773.5,26.70604324,
2773,26.85951805,
2772.5,26.98640442,
2772,27.13471413,
2771.5,27.3021431,
2771,27.43817902,
2770.5,27.59119034,
2770,27.73807907,
2769.5,27.86486435,
2769,28.03035927,
2768.5,28.15464211,
2768,28.27835655,
2767.5,28.43673325,
2767,28.55822372,
2766.5,28.71190643,
2766,28.82970238,
2765.5,28.96394348,
2765,29.12438774,
2764.5,29.22816849,
2764,29.37850952,
2763.5,29.54312325,
2763,29.68083382,
