Baseline 100%T,,
Wavelength (nm),Abs,
2760.5,-0.0549309887,
2760,-0.05490037799,
2759.5,-0.05459741876,
2759,-0.05436231941,
2758.5,-0.05387609452,
2758,-0.05342046171,
2757.5,-0.05288968608,
2757,-0.05220513791,
2756.5,-0.05193001404,
2756,-0.05156714469,
2755.5,-0.05132137984,
2755,-0.051576294,
2754.5,-0.05155748874,
2754,-0.05176630989,
2753.5,-0.0521870032,
2753,-0.0522852391,
2752.5,-0.05284215137,
2752,-0.05330878869,
2751.5,-0.05335668474,
2751,-0.0537779443,
2750.5,-0.05396188051,
2750,-0.05417526141,
2749.5,-0.05471533164,
2749,-0.05487135798,
2748.5,-0.05518949032,
2748,-0.05548588559,
2747.5,-0.05551527441,
2747,-0.05565534532,
2746.5,-0.05576646328,
2746,-0.05582387373,
2745.5,-0.05601459369,
2745,-0.05588560551,
2744.5,-0.0556894578,
2744,-0.05534744635,
2743.5,-0.05482139438,
2743,-0.05451705679,
2742.5,-0.05398122221,
2742,-0.05340342969,
2741.5,-0.05292910337,
2741,-0.05254660547,
2740.5,-0.05233480781,
2740,-0.05262944475,
2739.5,-0.05277008191,
2739,-0.05318683013,
2738.5,-0.05362532288,
2738,-0.05365703255,
2737.5,-0.05395932123,
2737,-0.05413312465,
2736.5,-0.05429575592,
2736,-0.0546772629,
2735.5,-0.0548568964,
2735,-0.05497273058,
2734.5,-0.05535938591,
2734,-0.05537447333,
2733.5,-0.05567169562,
2733,-0.0560279265,
2732.5,-0.05617529526,
2732,-0.05653265491,
2731.5,-0.05678561702,
2731,-0.05672846735,
2730.5,-0.05694308132,
2730,-0.05694680661,
2729.5,-0.05684112385,
2729,-0.05671215802,
2728.5,-0.05606505647,
2728,-0.05581376702,
2727.5,-0.05535756424,
2727,-0.05476448685,
2726.5,-0.05443649739,
2726,-0.05397971347,
2725.5,-0.05366883427,
2725,-0.05362472683,
2724.5,-0.05342499167,
2724,-0.05359036103,
2723.5,-0.053745877,
2723,-0.05370786041,
2722.5,-0.05405551195,
2722,-0.05431366712,
2721.5,-0.05446262285,
2721,-0.05474659801,
2720.5,-0.0548024103,
2720,-0.05509095266,
2719.5,-0.05529716983,
2719,-0.05528741702,
2718.5,-0.05561380833,
2718,-0.05606983602,
2717.5,-0.05630715191,
2717,-0.05669357255,
2716.5,-0.05677317083,
2716,-0.0567465052,
2715.5,-0.05673028529,
2715,-0.05633670837,
2714.5,-0.05599252135,
2714,-0.05563120544,
2713.5,-0.05493258685,
2713,-0.05426349863,
2712.5,-0.05349457264,
2712,-0.05256454274,
2711.5,-0.05201241747,
2711,-0.05124717578,
2710.5,-0.05081506819,
2710,-0.05056173727,
2709.5,-0.05037506297,
2709,-0.05054491758,
2708.5,-0.0506420061,
2708,-0.05084403604,
2707.5,-0.05125269666,
2707,-0.05141967535,
2706.5,-0.05146736652,
2706,-0.05156617984,
2705.5,-0.05141148716,
2705,-0.05133840069,
2704.5,-0.05126539245,
2704,-0.05106912553,
2703.5,-0.05100914836,
2703,-0.05077683926,
2702.5,-0.0503141135,
2702,-0.05009859428,
2701.5,-0.04956591129,
2701,-0.04929891229,
2700.5,-0.04891227931,
2700,-0.0483838357,
2699.5,-0.04803360626,
2699,-0.04748385772,
2698.5,-0.04677422717,
2698,-0.04622497782,
2697.5,-0.04547295719,
2697,-0.04487112164,
2696.5,-0.04426854476,
2696,-0.04350684956,
2695.5,-0.04294200242,
2695,-0.04240708426,
2694.5,-0.04196176678,
2694,-0.04186661914,
2693.5,-0.04165396839,
2693,-0.04140422493,
2692.5,-0.04135245085,
2692,-0.04102830216,
2691.5,-0.04091377556,
2691,-0.04070080072,
