IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Energy (eV),%T,
2.1086,35.7140866023,
2.1086,35.7140866023,
2.1122,35.7164002196,
2.1122,35.7164002196,
2.1158,35.7117265766,
2.1158,35.7117265766,
2.1194,35.7291032696,
2.1194,35.7291032696,
2.1230,35.7160914013,
2.1230,35.7160914013,
2.1267,35.6871626227,
2.1267,35.6871626227,
2.1303,35.6636923709,
2.1303,35.6636923709,
2.1340,35.6577018150,
2.1340,35.6577018150,
2.1377,35.6541686470,
2.1377,35.6541686470,
2.1414,35.5956384722,
2.1414,35.5956384722,
2.1451,35.5719379269,
2.1451,35.5719379269,
2.1488,35.5535177970,
2.1488,35.5535177970,
2.1525,35.4940031901,
2.1525,35.4940031901,
2.1562,35.4393374489,
2.1562,35.4393374489,
2.1600,35.4544332308,
2.1600,35.4544332308,
2.1638,35.3802421998,
2.1638,35.3802421998,
2.1676,35.3551153161,
2.1676,35.3551153161,
2.1714,35.3323798755,
2.1714,35.3323798755,
2.1752,35.2618728672,
2.1752,35.2618728672,
2.1790,35.2256532559,
2.1790,35.2256532559,
2.1828,35.1937259496,
2.1828,35.1937259496,
2.1867,35.1807255751,
2.1867,35.1807255751,
2.1905,35.0929203596,
2.1905,35.0929203596,
2.1944,35.0640776500,
2.1944,35.0640776500,
2.1983,35.0590827686,
2.1983,35.0590827686,
2.2022,35.0277727525,
2.2022,35.0277727525,
2.2061,34.9797823501,
2.2061,34.9797823501,
2.2101,34.9842017603,
2.2101,34.9842017603,
2.2140,34.9554124199,
2.2140,34.9554124199,
2.2180,34.8897611143,
2.2180,34.8897611143,
2.2219,34.8733047412,
2.2219,34.8733047412,
2.2259,34.8641930513,
2.2259,34.8641930513,
2.2299,34.8713568202,
2.2299,34.8713568202,
2.2339,34.7967621513,
2.2339,34.7967621513,
2.2380,34.7394773926,
2.2380,34.7394773926,
2.2420,34.7055828822,
2.2420,34.7055828822,
2.2461,34.7128307810,
2.2461,34.7128307810,
2.2502,34.6477182963,
2.2502,34.6477182963,
2.2543,34.6596416755,
2.2543,34.6596416755,
2.2584,34.6799022829,
2.2584,34.6799022829,
2.2625,34.6017468450,
2.2625,34.6017468450,
2.2666,34.5807820190,
2.2666,34.5807820190,
2.2708,34.6123147775,
2.2708,34.6123147775,
2.2749,34.5050116998,
2.2749,34.5050116998,
2.2791,34.4877096689,
2.2791,34.4877096689,
2.2833,34.5031719560,
2.2833,34.5031719560,
2.2875,34.4468196532,
2.2875,34.4468196532,
2.2918,34.4392184352,
2.2918,34.4392184352,
2.2960,34.4618166428,
2.2960,34.4618166428,
2.3003,34.4947818857,
2.3003,34.4947818857,
2.3045,34.3416980769,
2.3045,34.3416980769,
2.3088,34.3612021965,
2.3088,34.3612021965,
2.3131,34.3411560559,
2.3131,34.3411560559,
2.3175,34.3320467553,
2.3175,34.3320467553,
2.3218,34.2627412419,
2.3218,34.2627412419,
2.3262,34.2834897214,
2.3262,34.2834897214,
2.3305,34.2445948492,
2.3305,34.2445948492,
2.3349,34.2368033158,
2.3349,34.2368033158,
2.3393,34.2463174025,
2.3393,34.2463174025,
2.3437,34.1403340497,
2.3437,34.1403340497,
2.3482,34.1473584629,
2.3482,34.1473584629,
2.3526,34.1193678236,
2.3526,34.1193678236,
2.3571,34.1043700827,
2.3571,34.1043700827,
2.3616,34.0443235025,
2.3616,34.0443235025,
2.3661,34.0670623447,
2.3661,34.0670623447,
2.3706,34.0308182607,
2.3706,34.0308182607,
