V2O5-AM-02-Abs-Scan_8300-20000_cm-1_2x5mm_Vozduh-10-06-16,,
Wavenumber (cm-1),Abs,
10380,0.7557752132,
10390,0.7563269734,
10400,0.7569677234,
10410,0.7581241131,
10420,0.7594037652,
10430,0.7590059638,
10440,0.7566969395,
10450,0.7536682487,
10460,0.7499207258,
10470,0.7468086481,
10480,0.7456098199,
10490,0.7464904785,
10500,0.7483553886,
10510,0.7506415844,
10520,0.7530195713,
10530,0.7546551228,
10540,0.7540434599,
10550,0.7515972853,
10560,0.7477511168,
10570,0.7428225279,
10580,0.738342762,
10590,0.736323595,
10600,0.7363744974,
10610,0.7378716469,
10620,0.7403252125,
10630,0.7429804802,
10640,0.7456979156,
10650,0.7461888194,
10660,0.7442834973,
10670,0.7412938476,
10680,0.7376520038,
10690,0.7341145277,
10700,0.7318563461,
10710,0.7306736708,
10720,0.7308273315,
10730,0.7309166193,
10740,0.7306697369,
10750,0.7310037017,
10760,0.7311035395,
10770,0.7306262851,
10780,0.7300353646,
10790,0.7291695476,
10800,0.7289860845,
10810,0.7298374772,
10820,0.7304030061,
10830,0.7309714556,
10840,0.7307029366,
10850,0.7298619151,
10860,0.7288483977,
10870,0.7271179557,
10880,0.7261709571,
10890,0.7259438038,
10900,0.7261896133,
10910,0.7273527384,
10920,0.7283064127,
10930,0.7287912369,
10940,0.7292685509,
10950,0.7284460068,
10960,0.7269043922,
10970,0.7250494361,
10980,0.7234643698,
10990,0.7227728963,
11000,0.722411871,
11010,0.7227501273,
11020,0.7243588567,
11030,0.7256098986,
11040,0.7267852426,
11050,0.7274724245,
11060,0.7275594473,
11070,0.7273328304,
11080,0.7266898751,
11090,0.7254028916,
11100,0.7251139879,
11110,0.7241437435,
11120,0.7236080766,
11130,0.7232171893,
11140,0.7231565714,
11150,0.723203063,
11160,0.7234755754,
11170,0.7241623402,
11180,0.725241363,
11190,0.7260296345,
11200,0.7264934182,
11210,0.7268351912,
11220,0.7262911797,
11230,0.7255830169,
11240,0.7246744633,
11250,0.7244414687,
11260,0.7242081761,
11270,0.7247915864,
11280,0.7259043455,
11290,0.7277017236,
11300,0.7290734649,
11310,0.7298870683,
11320,0.730061233,
11330,0.7296918631,
11340,0.7290244699,
11350,0.7277879119,
11360,0.7266805768,
11370,0.7265752554,
11380,0.7268605828,
11390,0.7277900577,
