Baseline 100%T,,
Wavenumber (cm-1),%T,
3410.1,112.4586585155,
3410.1,112.4586585155,
3410.6,112.4617222802,
3410.6,112.4617222802,
3411.2,112.5179169937,
3411.2,112.5179169937,
3411.8,112.5670908505,
3411.8,112.5670908505,
3412.4,112.5358104770,
3412.4,112.5358104770,
3413.0,112.5270004438,
3413.0,112.5270004438,
3413.6,112.4585745913,
3413.6,112.4585745913,
3414.1,112.4261979860,
3414.1,112.4261979860,
3414.7,112.4799850390,
3414.7,112.4799850390,
3415.3,112.4961500076,
3415.3,112.4961500076,
3415.9,112.5586269127,
3415.9,112.5586269127,
3416.5,112.5722529470,
3416.5,112.5722529470,
3417.1,112.4986049165,
3417.1,112.4986049165,
3417.6,112.4397877323,
3417.6,112.4397877323,
3418.2,112.4240040662,
3418.2,112.4240040662,
3418.8,112.4213936003,
3418.8,112.4213936003,
3419.4,112.4875785133,
3419.4,112.4875785133,
3420.0,112.5019312857,
3420.0,112.5019312857,
3420.6,112.4925970466,
3420.6,112.4925970466,
3421.1,112.4986763254,
3421.1,112.4986763254,
3421.7,112.4225970875,
3421.7,112.4225970875,
3422.3,112.4215122125,
3422.3,112.4215122125,
3422.9,112.4442697886,
3422.9,112.4442697886,
3423.5,112.4643085999,
3423.5,112.4643085999,
3424.1,112.6046416715,
3424.1,112.6046416715,
3424.7,112.5921484499,
3424.7,112.5921484499,
3425.2,112.5402924998,
3425.2,112.5402924998,
3425.8,112.4988789734,
3425.8,112.4988789734,
3426.4,112.4478819892,
3426.4,112.4478819892,
3427.0,112.4867197590,
3427.0,112.4867197590,
3427.6,112.5254271244,
3427.6,112.5254271244,
3428.2,112.5237109746,
3428.2,112.5237109746,
3428.8,112.5374080766,
3428.8,112.5374080766,
3429.4,112.4787568175,
3429.4,112.4787568175,
3429.9,112.4174833188,
3429.9,112.4174833188,
3430.5,112.4207262875,
3430.5,112.4207262875,
3431.1,112.4022841732,
3431.1,112.4022841732,
3431.7,112.4652385709,
3431.7,112.4652385709,
3432.3,112.5153419882,
3432.3,112.5153419882,
3432.9,112.4846462328,
3432.9,112.4846462328,
3433.5,112.5138286673,
3433.5,112.5138286673,
3434.1,112.4301076049,
3434.1,112.4301076049,
3434.7,112.3861673973,
3434.7,112.3861673973,
3435.2,112.4429580419,
3435.2,112.4429580419,
3435.8,112.4587655922,
3435.8,112.4587655922,
3436.4,112.5230073410,
3436.4,112.5230073410,
3437.0,112.4986406196,
3437.0,112.4986406196,
3437.6,112.4329564873,
3437.6,112.4329564873,
3438.2,112.4195932135,
3438.2,112.4195932135,
3438.8,112.3676895052,
3438.8,112.3676895052,
3439.4,112.3699902807,
3439.4,112.3699902807,
3440.0,112.4410386795,
3440.0,112.4410386795,
3440.6,112.4302503384,
3440.6,112.4302503384,
3441.2,112.4583247480,
3441.2,112.4583247480,
3441.7,112.4336720958,
3441.7,112.4336720958,
3442.3,112.3343590991,
3442.3,112.3343590991,
3442.9,112.3334167188,
3442.9,112.3334167188,
3443.5,112.3202560415,
3443.5,112.3202560415,
3444.1,112.3212098721,
3444.1,112.3212098721,
3444.7,112.3849151353,
3444.7,112.3849151353,
3445.3,112.3466011025,
3445.3,112.3466011025,
3445.9,112.3201365740,
3445.9,112.3201365740,
3446.5,112.2745038818,
3446.5,112.2745038818,
3447.1,112.2141598168,
3447.1,112.2141598168,
3447.7,112.2510787341,
3447.7,112.2510787341,
3448.3,112.3090390328,
3448.3,112.3090390328,
3448.9,112.3306753863,
3448.9,112.3306753863,
3449.5,112.3559598528,
3449.5,112.3559598528,
3450.1,112.3257045434,
3450.1,112.3257045434,
3450.7,112.2998710690,
3450.7,112.2998710690,
3451.3,112.2897743640,
3451.3,112.2897743640,
3451.8,112.2771263452,
3451.8,112.2771263452,
3452.4,112.3399614992,
3452.4,112.3399614992,
3453.0,112.3873830402,
3453.0,112.3873830402,
3453.6,112.3646620379,
3453.6,112.3646620379,
3454.2,112.3606081945,
3454.2,112.3606081945,
3454.8,112.2909070914,
3454.8,112.2909070914,
3455.4,112.2547270954,
3455.4,112.2547270954,
3456.0,112.2865197607,
3456.0,112.2865197607,
3456.6,112.2864128481,
3456.6,112.2864128481,
3457.2,112.3100399710,
3457.2,112.3100399710,
3457.8,112.3195652433,
3457.8,112.3195652433,
3458.4,112.2484328060,
3458.4,112.2484328060,
3459.0,112.2170090023,
3459.0,112.2170090023,
3459.6,112.1611233134,
3459.6,112.1611233134,
3460.2,112.1569276939,
3460.2,112.1569276939,
3460.8,112.2039437724,
3460.8,112.2039437724,
3461.4,112.1883394857,
3461.4,112.1883394857,
3462.0,112.1849896702,
3462.0,112.1849896702,
3462.6,112.1739507059,
3462.6,112.1739507059,
3463.2,112.0983958835,
3463.2,112.0983958835,
3463.8,112.0891451211,
3463.8,112.0891451211,
3464.4,112.0893124182,
3464.4,112.0893124182,
3465.0,112.1281148286,
3465.0,112.1281148286,
3465.6,112.2015838390,
3465.6,112.2015838390,
3466.2,112.1880892818,
3466.2,112.1880892818,
3466.8,112.1672626131,
3466.8,112.1672626131,
3467.4,112.1525879288,
