Baseline 100%T,,
Wavelength (nm),%T,
2880.0,112.1458886065,
2879.5,112.1504185895,
2879.5,112.1504185895,
2879.0,112.2033354959,
2879.0,112.2033354959,
2878.5,112.2029187528,
2878.5,112.2029187528,
2878.0,112.1683835230,
2878.0,112.1683835230,
2877.5,112.1704338990,
2877.5,112.1704338990,
2877.0,112.1064780634,
2877.0,112.1064780634,
2876.5,112.0661614211,
2876.5,112.0661614211,
2876.0,112.0970131718,
2876.0,112.0970131718,
2875.5,112.1152994128,
2875.5,112.1152994128,
2875.0,112.1488928623,
2875.0,112.1488928623,
2874.5,112.1095178085,
2874.5,112.1095178085,
2874.0,112.0075818606,
2874.0,112.0075818606,
2873.5,112.0245101350,
2873.5,112.0245101350,
2873.0,112.0001437631,
2873.0,112.0001437631,
2872.5,112.0092392167,
2872.5,112.0092392167,
2872.0,112.0474699133,
2872.0,112.0474699133,
2871.5,112.0134831188,
2871.5,112.0134831188,
2871.0,112.0306256204,
2871.0,112.0306256204,
2870.5,111.9993684690,
2870.5,111.9993684690,
2870.0,111.9486805006,
2870.0,111.9486805006,
2869.5,111.9603157755,
2869.5,111.9603157755,
2869.0,111.9643330878,
2869.0,111.9643330878,
2868.5,112.0006087498,
2868.5,112.0006087498,
2868.0,112.0351432601,
2868.0,112.0351432601,
2867.5,111.9932767844,
2867.5,111.9932767844,
2867.0,111.9675043984,
2867.0,111.9675043984,
2866.5,111.9565482967,
2866.5,111.9565482967,
2866.0,111.9433405487,
2866.0,111.9433405487,
2865.5,112.0122907351,
2865.5,112.0122907351,
2865.0,112.0124338977,
2865.0,112.0124338977,
2864.5,111.9937897770,
2864.5,111.9937897770,
2864.0,112.0229841990,
2864.0,112.0229841990,
2863.5,111.9629501091,
2863.5,111.9629501091,
2863.0,111.9423390381,
2863.0,111.9423390381,
2862.5,111.9538430479,
2862.5,111.9538430479,
2862.0,111.9500757870,
